PriceList,Catalog,GradeGroup,Price
EQ3 EXW US V5,30136-01,10,897.0
EQ3 EXW US V5,30136-01,20,937.0
EQ3 EXW US V5,30136-01,30,967.0
EQ3 EXW US V5,30136-01,31,967.0
EQ3 EXW US V5,30136-01,40,997.0
EQ3 EXW US V5,30136-01,50,1047.0
EQ3 EXW US V5,30136-01,60,1097.0
EQ3 EXW US V5,30136-01,70,1147.0
EQ3 EXW US V5,30136-01,F,1747.31
EQ3 EXW US V5,30136-01,I,1897.31
EQ3 EXW US V5,30136-01,41,nan
EQ3 EXW US V5,30136-01,42,nan
EQ3 EXW US V5,30136-03,10,806.0
EQ3 EXW US V5,30136-03,20,846.0
EQ3 EXW US V5,30136-03,30,876.0
EQ3 EXW US V5,30136-03,31,876.0
EQ3 EXW US V5,30136-03,40,906.0
EQ3 EXW US V5,30136-03,50,956.0
EQ3 EXW US V5,30136-03,60,1006.0
EQ3 EXW US V5,30136-03,70,1056.0
EQ3 EXW US V5,30136-03,F,1655.7275
EQ3 EXW US V5,30136-03,I,1805.7275
EQ3 EXW US V5,30136-03,41,nan
EQ3 EXW US V5,30136-03,42,nan
EQ3 EXW US V5,30136-06,10,586.0
EQ3 EXW US V5,30136-06,20,606.0
EQ3 EXW US V5,30136-06,30,621.0
EQ3 EXW US V5,30136-06,31,621.0
EQ3 EXW US V5,30136-06,40,641.0
EQ3 EXW US V5,30136-06,50,661.0
EQ3 EXW US V5,30136-06,60,681.0
EQ3 EXW US V5,30136-06,70,701.0
EQ3 EXW US V5,30136-06,F,925.705
EQ3 EXW US V5,30136-06,I,1075.705
EQ3 EXW US V5,30136-06,41,nan
EQ3 EXW US V5,30136-06,42,nan
EQ3 EXW US V5,30136-07,10,690.0
EQ3 EXW US V5,30136-07,20,730.0
EQ3 EXW US V5,30136-07,30,760.0
EQ3 EXW US V5,30136-07,31,760.0
EQ3 EXW US V5,30136-07,40,790.0
EQ3 EXW US V5,30136-07,50,840.0
EQ3 EXW US V5,30136-07,60,890.0
EQ3 EXW US V5,30136-07,70,940.0
EQ3 EXW US V5,30136-07,F,1540.23
EQ3 EXW US V5,30136-07,I,1690.23
EQ3 EXW US V5,30136-07,41,nan
EQ3 EXW US V5,30136-07,42,nan
EQ3 EXW US V5,30136-08,10,690.0
EQ3 EXW US V5,30136-08,20,730.0
EQ3 EXW US V5,30136-08,30,760.0
EQ3 EXW US V5,30136-08,31,760.0
EQ3 EXW US V5,30136-08,40,790.0
EQ3 EXW US V5,30136-08,50,840.0
EQ3 EXW US V5,30136-08,60,890.0
EQ3 EXW US V5,30136-08,70,940.0
EQ3 EXW US V5,30136-08,F,1540.23
EQ3 EXW US V5,30136-08,I,1690.23
EQ3 EXW US V5,30136-08,41,nan
EQ3 EXW US V5,30136-08,42,nan
EQ3 EXW US V5,30136-09,10,383.0
EQ3 EXW US V5,30136-09,20,403.0
EQ3 EXW US V5,30136-09,30,418.0
EQ3 EXW US V5,30136-09,31,418.0
EQ3 EXW US V5,30136-09,40,453.0
EQ3 EXW US V5,30136-09,50,488.0
EQ3 EXW US V5,30136-09,60,523.0
EQ3 EXW US V5,30136-09,70,558.0
EQ3 EXW US V5,30136-09,F,977.6675
EQ3 EXW US V5,30136-09,I,1082.6675
EQ3 EXW US V5,30136-09,41,nan
EQ3 EXW US V5,30136-09,42,nan
EQ3 EXW US V5,30136-10,10,327.0
EQ3 EXW US V5,30136-10,20,347.0
EQ3 EXW US V5,30136-10,30,362.0
EQ3 EXW US V5,30136-10,31,362.0
EQ3 EXW US V5,30136-10,40,382.0
EQ3 EXW US V5,30136-10,50,402.0
EQ3 EXW US V5,30136-10,60,422.0
EQ3 EXW US V5,30136-10,70,442.0
EQ3 EXW US V5,30136-10,F,666.535
EQ3 EXW US V5,30136-10,I,726.535
EQ3 EXW US V5,30136-10,41,nan
